UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
424	33	70	62828	4150	84669	5064	124230	6333	156157	7093
451	33	75	36862	3530	52932	4513	74643	5461	104218	7219
478	33	80	24603	4097	40864	6131	62991	7757	100886	12882
20	35	0	341157	21050	303443	9896	319085	6556	270906	4006
47	35	1	1206246	2281	1276462	1328	1304878	971	1090710	613
74	35	5	1350747	823	1695402	711	1609522	532	1457203	351
101	35	10	1279253	887	1643282	876	1710336	800	1687826	541
128	35	15	1325666	2099	1460447	3430	1817616	4318	1667482	1922
155	35	20	1353470	2980	1490125	4983	1757537	6093	1835222	3304
182	35	25	1176465	2945	1448641	5296	1586803	5649	1881495	3606
209	35	30	947006	3206	1325381	5466	1492773	5723	1741346	3926
236	35	35	744406	3568	1148191	5846	1400360	6430	1549270	4688
263	35	40	664636	4389	940985	5873	1241184	7418	1444231	6005
290	35	45	547985	5265	711878	6094	1029684	8294	1308852	8074
317	35	50	487062	6224	594775	7140	818855	8865	1149501	10614
344	35	55	361214	6870	479344	8325	597226	9659	930303	12238
