cod	sex	age	pop1	year1	pop2	year2	death
2302	f	65	5621	1980	8023	1991	49.81
2302	f	70	4442	1980	5201	1991	53.40
2302	f	75	3254	1980	4009	1991	74.57
2302	f	80	2500	1980	4293	1991	184.24
2303	f	0	25678	1980	25430	1991	1196.21
2303	f	1	85694	1980	115772	1991	215.61
2303	f	5	96484	1980	142961	1991	54.77
2303	f	10	104211	1980	136382	1991	43.73
2303	f	15	111174	1980	135092	1991	66.97
2303	f	20	90404	1980	130504	1991	81.95
2303	f	25	71627	1980	120516	1991	98.38
2303	f	30	58045	1980	93407	1991	105.10
2303	f	35	45172	1980	77089	1991	111.99
2303	f	40	41251	1980	63625	1991	125.67
2303	f	45	30807	1980	47835	1991	132.16
2303	f	50	29164	1980	41291	1991	171.21
2303	f	55	21323	1980	31896	1991	178.46
2303	f	60	15365	1980	28134	1991	218.64
2303	f	65	12950	1980	21925	1991	260.40
2303	f	70	8573	1980	13679	1991	264.39
2303	f	75	6414	1980	10386	1991	368.21
2303	f	80	5186	1980	9769	1991	802.39
2304	f	0	11902	1980	9472	1991	91.65
2304	f	1	46634	1980	40350	1991	18.13
2304	f	5	55837	1980	50622	1991	5.88
2304	f	10	56015	1980	50302	1991	4.69
2304	f	15	47284	1980	42423	1991	5.32
2304	f	20	31299	1980	31862	1991	6.09
2304	f	25	24493	1980	28261	1991	6.82
2304	f	30	21605	1980	22843	1991	7.57
2304	f	35	18305	1980	20587	1991	9.59
2304	f	40	17633	1980	19374	1991	11.13
2304	f	45	12374	1980	15534	1991	13.18
2304	f	50	12364	1980	14745	1991	19.09
2304	f	55	9930	1980	11451	1991	19.18
2304	f	60	6850	1980	10377	1991	26.32
2304	f	65	6818	1980	9298	1991	35.42
2304	f	70	4455	1980	6065	1991	36.05
2304	f	75	3140	1980	4655	1991	50.06
2304	f	80	2552	1980	4643	1991	122.78
2305	f	0	6049	1980	4927	1991	212.13
2305	f	1	22439	1980	22130	1991	40.98
2305	f	5	27373	1980	28391	1991	10.85
2305	f	10	26447	1980	26172	1991	8.05
2305	f	15	23242	1980	22661	1991	10.45
2305	f	20	15677	1980	17993	1991	10.53
2305	f	25	12623	1980	16963	1991	12.88
2305	f	30	11823	1980	13369	1991	15.00
2305	f	35	9488	1980	11799	1991	16.60
2305	f	40	7784	1980	11225	1991	19.07
2305	f	45	6223	1980	8762	1991	21.27
2305	f	50	6831	1980	6869	1991	27.88
2305	f	55	5478	1980	5821	1991	32.09
2305	f	60	4197	1980	5873	1991	43.11
